"Year","County FIPS Code","County Name","Gross Domestic Product ($1,000)","GDP Unit of Measure"
"2018","42039","Crawford, PA","$3,097,931","Thousands of dollars"
"2018","42041","Cumberland, PA","$16,084,396","Thousands of dollars"
"2018","42043","Dauphin, PA","$23,157,261","Thousands of dollars"
"2018","42045","Delaware, PA","$34,975,174","Thousands of dollars"
"2018","42047","Elk, PA","$1,538,422","Thousands of dollars"
"2018","42049","Erie, PA","$11,844,098","Thousands of dollars"
"2018","42051","Fayette, PA","$4,631,741","Thousands of dollars"
"2018","42053","Forest, PA","$246,286","Thousands of dollars"
"2018","42055","Franklin, PA","$6,511,973","Thousands of dollars"
"2018","42057","Fulton, PA","$695,440","Thousands of dollars"
"2018","42059","Greene, PA","$2,958,040","Thousands of dollars"
"2018","42061","Huntingdon, PA","$1,315,874","Thousands of dollars"
"2018","42063","Indiana, PA","$4,271,208","Thousands of dollars"
"2018","42065","Jefferson, PA","$1,612,074","Thousands of dollars"
"2018","42067","Juniata, PA","$782,174","Thousands of dollars"
"2018","42069","Lackawanna, PA","$10,070,241","Thousands of dollars"
"2018","42071","Lancaster, PA","$29,902,188","Thousands of dollars"
"2018","42073","Lawrence, PA","$3,199,322","Thousands of dollars"
"2018","42075","Lebanon, PA","$5,963,087","Thousands of dollars"
"2018","42077","Lehigh, PA","$22,954,018","Thousands of dollars"
"2018","42079","Luzerne, PA","$15,642,726","Thousands of dollars"
"2018","42081","Lycoming, PA","$5,956,709","Thousands of dollars"
"2018","42083","McKean, PA","$1,849,772","Thousands of dollars"
"2018","42085","Mercer, PA","$4,561,251","Thousands of dollars"
"2018","42087","Mifflin, PA","$1,727,206","Thousands of dollars"
"2018","42089","Monroe, PA","$7,852,706","Thousands of dollars"
"2018","42091","Montgomery, PA","$80,863,704","Thousands of dollars"
"2018","42093","Montour, PA","$1,989,840","Thousands of dollars"
"2018","42095","Northampton, PA","$15,891,291","Thousands of dollars"
"2018","42097","Northumberland, PA","$2,885,054","Thousands of dollars"
"2018","42099","Perry, PA","$999,841","Thousands of dollars"
"2018","42101","Philadelphia, PA","$110,895,144","Thousands of dollars"
"2018","42103","Pike, PA","$1,418,700","Thousands of dollars"
"2018","42105","Potter, PA","$934,691","Thousands of dollars"
"2018","42107","Schuylkill, PA","$4,967,990","Thousands of dollars"
"2018","42109","Snyder, PA","$1,613,071","Thousands of dollars"
"2018","42111","Somerset, PA","$2,521,275","Thousands of dollars"
"2018","42113","Sullivan, PA","$283,933","Thousands of dollars"
"2018","42115","Susquehanna, PA","$2,239,173","Thousands of dollars"
"2018","42117","Tioga, PA","$1,611,984","Thousands of dollars"
"2018","42119","Union, PA","$1,879,969","Thousands of dollars"
"2018","42121","Venango, PA","$1,855,638","Thousands of dollars"
"2018","42123","Warren, PA","$1,460,889","Thousands of dollars"
"2018","42125","Washington, PA","$14,510,646","Thousands of dollars"
"2018","42127","Wayne, PA","$1,872,300","Thousands of dollars"
"2018","42129","Westmoreland, PA","$15,244,945","Thousands of dollars"
"2018","42131","Wyoming, PA","$1,708,256","Thousands of dollars"
"2018","42133","York, PA","$21,753,750","Thousands of dollars"
"2017","42001","Adams, PA","$4,038,383","Thousands of dollars"
"2017","42003","Allegheny, PA","$97,885,840","Thousands of dollars"
"2017","42005","Armstrong, PA","$2,285,684","Thousands of dollars"
"2017","42007","Beaver, PA","$6,933,636","Thousands of dollars"
"2017","42009","Bedford, PA","$1,514,469","Thousands of dollars"
"2017","42011","Berks, PA","$20,118,171","Thousands of dollars"
"2017","42013","Blair, PA","$5,849,536","Thousands of dollars"
"2017","42015","Bradford, PA","$3,405,483","Thousands of dollars"
"2017","42017","Bucks, PA","$35,356,539","Thousands of dollars"
