Patient Zip Code,Partially Covered,Fully Covered
19148,3765,8074
19306,2,2
16148,1349,10769
18794,2,3
16505,1400,12204
17653,0,1
17697,0,1
17704,0,1
17703,26,57
17678,0,1
17707,1,1
17668,0,1
17684,1,0
17700,0,1
17654,2,0
17706,1,0
17666,0,1
17692,0,4
17683,0,1
17705,2,1
17650,0,3
17682,2,0
17669,1,0
15368,50,293
15745,32,184
17307,248,3097
16143,166,1113
16511,804,7442
17326,0,1
19535,16,83
18518,711,6499
15779,17,452
19312,1701,10980
17101,441,1797
16323,898,8013
18933,20,152
15960,23,194
17062,184,1989
18847,262,2463
17824,197,3078
16224,38,463
17202,1295,16210
19082,6248,30753
17712,0,3
17725,2,2
17722,0,1
17727,1,22
17711,2,3
17734,0,1
17710,1,6
17733,0,1
17709,0,1
17713,0,1
16938,48,367
18068,13,95
15050,129,1154
18410,22,102
18946,26,119
17084,158,2459
18925,666,5210
16728,2,8
15687,62,637
17931,427,5527
15943,160,1911
17814,212,2485
18915,184,1453
19016,26,66
18335,60,386
17024,93,841
17580,7,71
15712,4,42
15856,37,454
15629,57,344
17243,59,514
18013,1198,9918
15104,756,3900
17867,2,83
17040,140,1147
19143,5224,16194
15644,1181,10875
15861,5,87
17757,0,1
17742,2,47
17753,0,1
17738,0,1
17739,3,29
17746,28,4
17755,0,4
15622,94,672
15841,10,114
17052,71,611
18840,979,5408
15316,12,95
16367,1,1
15025,1180,11526
18320,19,165
18333,61,500
18464,139,960
18247,9,68
15235,3328,24298
15693,20,92
17361,537,4024
17347,372,4028
15447,18,62
18108,4,9
18846,34,314
17860,95,1454
15545,68,753
17335,3,5
17943,23,136
16226,397,4302
17769,3,19
17803,0,2
17763,24,84
17791,1,3
17767,1,1
17778,4,37
17802,1,1
17793,0,1
17807,2,1
17759,0,3
17784,0,1
17805,1,0
17787,0,1
17768,13,133
17770,0,1
18234,36,185
19609,736,7097
17060,41,426
16852,44,140
15780,5,67
18961,0,4
18912,71,339
19446,6892,48332
19030,1174,8794
18937,0,4
15554,84,853
19472,32,137
18030,47,335
18451,55,308
15412,41,222
15557,174,1516
16365,1245,9705
18622,16,137
19675,0,1
15612,38,195
15689,13,57
15857,574,7473
18445,170,1296
19038,3775,26767
17825,0,2
17838,0,2
17839,2,2
17843,0,3
17835,12,60
15931,471,5362
15661,41,302
17314,133,1311
18844,95,851
17772,73,1258
19036,1311,9186
15620,63,394
17257,1351,13985
19070,690,5850
19065,19,44
18327,78,538
16641,125,1181
17313,558,6419
15444,42,266
16659,15,97
17847,535,7017
16058,2,2
19335,6103,43488
15204,736,4843
17011,3460,24373
16240,44,542
16872,37,448
17875,1,0
17849,1,0
17858,2,15
17848,1,0
17854,1,2
17871,1,1
17880,5,3
17869,0,2
17879,0,2
17745,1015,9426
17884,4,103
18066,258,3853
17407,150,1383
18938,1770,10932
16350,158,924
15327,66,452
18439,87,341
15417,419,3988
17859,154,1877
15321,146,1187
15550,58,604
15134,14,38
18513,2,5
18235,1133,11829
19044,1926,13028
17578,208,2853
19407,61,139
19510,506,5547
15376,67,659
19508,868,9397
15710,18,93
15038,27,202
17897,0,1
17924,0,3
17904,0,1
17911,1,2
17883,0,1
17923,28,198
17899,1,1
17909,0,1
17882,3,22
17915,0,1
17900,1,0
17918,0,1
17912,0,2
17908,0,1
17927,1,1
17919,1,1
17913,2,3
17907,1,0
17902,1,2
15546,15,135
15378,16,74
15671,55,354
19568,1,3
15000,5,4
18635,185,2266
17063,109,1529
15213,4172,15991
15004,48,182
19526,714,6657
15005,703,6534
15138,0,2
15760,2,27
17840,19,180
19061,2043,12810
17030,53,459
17093,30,131
17437,1,2
18660,176,2243
17749,18,147
19608,1673,17227
17046,1936,16381
16214,511,4011
16326,36,227
15737,30,284
19601,3813,19077
17309,58,946
15951,45,389
19554,44,266
15478,328,2646
15665,124,905
17887,20,189
17942,0,4
17940,1,1
17945,13,61
17950,2,1
17947,1,1
17952,12,131
17776,27,170
15865,37,555
16054,25,161
18471,123,697
15479,130,983
17353,134,1759
19029,382,2659
16865,101,1331
16360,59,613
15864,46,754
15957,29,221
16430,11,60
15502,43,222
15360,128,1023
15486,126,1126
18414,516,4057
16116,180,1169
19330,433,3552
15462,23,181
16235,61,751
17720,14,85
17532,127,1441
17810,60,808
19525,1333,11563
19110,8,21
16034,64,912
18038,142,2056
17971,2,2
17955,2,2
17973,0,1
17958,1,0
17968,33,149
17957,13,210
17962,0,6
17956,0,1
18222,573,6535
15685,15,107
18628,13,105
16346,232,1497
16748,177,901
17846,217,2363
16875,176,2346
16820,66,531
18460,19,139
18916,30,87
17728,237,2689
17563,137,1228
18910,37,197
18332,216,1917
19355,4353,26582
18943,28,139
17863,0,1
18654,3,19
18003,0,5
18008,0,1
17977,0,1
18009,1,0
18006,1,2
18005,0,1
18001,7,10
18019,5,10
18007,1,2
